Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.79634
cardio,1831,21,9.6122,2.10644
glass,214,9,4.2056,0.06664
ionosphere,351,33,35.8974,0.14246
letter,1600,32,6.25,1.1582599999999998
lympho,148,18,4.0541,0.29718999999999995
mnist,7603,100,9.2069,19.79992
musk,3062,166,3.1679,4.88655
optdigits,5216,64,2.8758,12.18545
pendigits,6870,16,2.2707,19.57188
pima,768,8,34.8958,0.2468
satellite,6435,36,31.6395,17.683879999999995
satimage-2,5803,36,1.2235,12.29873
shuttle,49097,9,7.1511,300.92256000000003
vertebral,240,6,12.5,0.04828
vowels,1456,12,3.4341,0.54056
wbc,378,30,5.5556,0.24718
