Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.82728
cardio,1831,21,9.6122,0.8616999999999999
glass,214,9,4.2056,0.75607
ionosphere,351,33,35.8974,0.92736
letter,1600,32,6.25,0.79821
lympho,148,18,4.0541,0.92214
mnist,7603,100,9.2069,0.7453599999999999
musk,3062,166,3.1679,0.8716200000000001
optdigits,5216,64,2.8758,0.50718
pendigits,6870,16,2.2707,0.8053899999999998
pima,768,8,34.8958,0.66552
satellite,6435,36,31.6395,0.66261
satimage-2,5803,36,1.2235,0.97958
shuttle,49097,9,7.1511,0.96695
vertebral,240,6,12.5,0.44941
vowels,1456,12,3.4341,0.9215099999999999
wbc,378,30,5.5556,0.8975499999999998
