Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.36771
cardio,1831,21,9.6122,0.62545
glass,214,9,4.2056,0.16199999999999998
ionosphere,351,33,35.8974,0.17185999999999998
letter,1600,32,6.25,0.6164900000000001
lympho,148,18,4.0541,0.06714
mnist,7603,100,9.2069,11.33603
musk,3062,166,3.1679,1.3687000000000002
optdigits,5216,64,2.8758,4.492420000000001
pendigits,6870,16,2.2707,9.40615
pima,768,8,34.8958,0.34206
satellite,6435,36,31.6395,7.548959999999999
satimage-2,5803,36,1.2235,5.626239999999999
shuttle,49097,9,7.1511,597.14995
vertebral,240,6,12.5,0.09938
vowels,1456,12,3.4341,0.48513
wbc,378,30,5.5556,0.12166000000000002
