Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.7617499999999999
cardio,1831,21,9.6122,0.86629
glass,214,9,4.2056,0.81716
ionosphere,351,33,35.8974,0.72165
letter,1600,32,6.25,0.49467999999999995
lympho,148,18,4.0541,0.9330400000000001
mnist,7603,100,9.2069,0.5642
musk,3062,166,3.1679,0.54532
optdigits,5216,64,2.8758,0.5913800000000001
pendigits,6870,16,2.2707,0.8840399999999999
pima,768,8,34.8958,0.5872499999999999
satellite,6435,36,31.6395,0.68819
satimage-2,5803,36,1.2235,0.9812200000000001
shuttle,49097,9,7.1511,0.9658300000000001
vertebral,240,6,12.5,0.38849
vowels,1456,12,3.4341,0.59557
wbc,378,30,5.5556,0.88214
