Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.48927
cardio,1831,21,9.6122,0.4569000000000001
glass,214,9,4.2056,0.0869
ionosphere,351,33,35.8974,0.52905
letter,1600,32,6.25,0.06583000000000001
lympho,148,18,4.0541,0.7516700000000001
mnist,7603,100,9.2069,0.14329999999999998
musk,3062,166,3.1679,0.09441
optdigits,5216,64,2.8758,0.0014500000000000001
pendigits,6870,16,2.2707,0.20048
pima,768,8,34.8958,0.43383000000000005
satellite,6435,36,31.6395,0.52294
satimage-2,5803,36,1.2235,0.50261
shuttle,49097,9,7.1511,0.6040600000000002
vertebral,240,6,12.5,0.053849999999999995
vowels,1456,12,3.4341,0.019929999999999996
wbc,378,30,5.5556,0.50786
