Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.53144
cardio,1831,21,9.6122,0.44952
glass,214,9,4.2056,0.17262
ionosphere,351,33,35.8974,0.74604
letter,1600,32,6.25,0.16788999999999998
lympho,148,18,4.0541,0.6183299999999999
mnist,7603,100,9.2069,0.3296
musk,3062,166,3.1679,0.14831000000000003
optdigits,5216,64,2.8758,0.00156
pendigits,6870,16,2.2707,0.14082999999999998
pima,768,8,34.8958,0.49323000000000006
satellite,6435,36,31.6395,0.50308
satimage-2,5803,36,1.2235,0.39829
shuttle,49097,9,7.1511,0.68471
vertebral,240,6,12.5,0.04290000000000001
vowels,1456,12,3.4341,0.43574999999999997
wbc,378,30,5.5556,0.47977
