Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.57256
cardio,1831,21,9.6122,0.83016
glass,214,9,4.2056,0.13986
ionosphere,351,33,35.8974,0.26715999999999995
letter,1600,32,6.25,0.9296399999999998
lympho,148,18,4.0541,0.09785999999999999
mnist,7603,100,9.2069,14.34912
musk,3062,166,3.1679,2.34241
optdigits,5216,64,2.8758,5.68971
pendigits,6870,16,2.2707,10.3238
pima,768,8,34.8958,0.35158000000000006
satellite,6435,36,31.6395,9.802059999999999
satimage-2,5803,36,1.2235,7.2774
shuttle,49097,9,7.1511,434.83549999999997
vertebral,240,6,12.5,0.0354
vowels,1456,12,3.4341,0.32545
wbc,378,30,5.5556,0.08734
