Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.21254
cardio,1831,21,9.6122,0.39288
glass,214,9,4.2056,0.04074
ionosphere,351,33,35.8974,0.0724
letter,1600,32,6.25,0.38432
lympho,148,18,4.0541,0.03150000000000001
mnist,7603,100,9.2069,3.3684800000000004
musk,3062,166,3.1679,0.82603
optdigits,5216,64,2.8758,1.5389899999999999
pendigits,6870,16,2.2707,2.8695399999999998
pima,768,8,34.8958,0.18648000000000003
satellite,6435,36,31.6395,2.5476400000000003
satimage-2,5803,36,1.2235,2.1768
shuttle,49097,9,7.1511,203.00330000000002
vertebral,240,6,12.5,0.049300000000000004
vowels,1456,12,3.4341,0.3022
wbc,378,30,5.5556,0.07490999999999999
