Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.5101600000000001
cardio,1831,21,9.6122,0.42424999999999996
glass,214,9,4.2056,0.09762
ionosphere,351,33,35.8974,0.55178
letter,1600,32,6.25,0.10397
lympho,148,18,4.0541,0.7516700000000001
mnist,7603,100,9.2069,0.20465999999999998
musk,3062,166,3.1679,0.13093
optdigits,5216,64,2.8758,0.00441
pendigits,6870,16,2.2707,0.20858000000000004
pima,768,8,34.8958,0.4508599999999999
satellite,6435,36,31.6395,0.47547000000000006
satimage-2,5803,36,1.2235,0.45305999999999996
shuttle,49097,9,7.1511,0.57964
vertebral,240,6,12.5,0.04671
vowels,1456,12,3.4341,0.15524
wbc,378,30,5.5556,0.4500699999999999
