Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.77302
cardio,1831,21,9.6122,0.8780300000000001
glass,214,9,4.2056,0.7518
ionosphere,351,33,35.8974,0.75968
letter,1600,32,6.25,0.5296500000000001
lympho,148,18,4.0541,0.93749
mnist,7603,100,9.2069,0.6613
musk,3062,166,3.1679,0.87325
optdigits,5216,64,2.8758,0.5366500000000001
pendigits,6870,16,2.2707,0.9081899999999999
pima,768,8,34.8958,0.6010099999999999
satellite,6435,36,31.6395,0.67049
satimage-2,5803,36,1.2235,0.9760099999999999
shuttle,49097,9,7.1511,0.9741900000000001
vertebral,240,6,12.5,0.44798
vowels,1456,12,3.4341,0.76288
wbc,378,30,5.5556,0.9037199999999999
