Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.21258
cardio,1831,21,9.6122,0.41727
glass,214,9,4.2056,0.04010999999999999
ionosphere,351,33,35.8974,0.07183999999999999
letter,1600,32,6.25,0.40412
lympho,148,18,4.0541,0.032240000000000005
mnist,7603,100,9.2069,2.86531
musk,3062,166,3.1679,0.73301
optdigits,5216,64,2.8758,1.4372800000000001
pendigits,6870,16,2.2707,2.64124
pima,768,8,34.8958,0.14593
satellite,6435,36,31.6395,1.9137
satimage-2,5803,36,1.2235,1.7358699999999998
shuttle,49097,9,7.1511,216.39620999999997
vertebral,240,6,12.5,0.04365
vowels,1456,12,3.4341,0.30954000000000004
wbc,378,30,5.5556,0.07414000000000001
