Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.49905999999999995
cardio,1831,21,9.6122,0.42644000000000004
glass,214,9,4.2056,0.10594999999999999
ionosphere,351,33,35.8974,0.58483
letter,1600,32,6.25,0.09836000000000002
lympho,148,18,4.0541,0.7516700000000001
mnist,7603,100,9.2069,0.22321
musk,3062,166,3.1679,0.10908999999999999
optdigits,5216,64,2.8758,0.0029400000000000003
pendigits,6870,16,2.2707,0.19527
pima,768,8,34.8958,0.45125000000000004
satellite,6435,36,31.6395,0.51013
satimage-2,5803,36,1.2235,0.38814
shuttle,49097,9,7.1511,0.64702
vertebral,240,6,12.5,0.0329
vowels,1456,12,3.4341,0.28132
wbc,378,30,5.5556,0.48505000000000004
