Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.75119
cardio,1831,21,9.6122,0.8909800000000001
glass,214,9,4.2056,0.82704
ionosphere,351,33,35.8974,0.69228
letter,1600,32,6.25,0.47008
lympho,148,18,4.0541,0.94095
mnist,7603,100,9.2069,0.5697099999999999
musk,3062,166,3.1679,0.5429200000000002
optdigits,5216,64,2.8758,0.5975
pendigits,6870,16,2.2707,0.89456
pima,768,8,34.8958,0.57491
satellite,6435,36,31.6395,0.65435
satimage-2,5803,36,1.2235,0.9862
shuttle,49097,9,7.1511,0.9833000000000001
vertebral,240,6,12.5,0.4122800000000001
vowels,1456,12,3.4341,0.48825
wbc,378,30,5.5556,0.86912
