Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.49002
cardio,1831,21,9.6122,0.44927
glass,214,9,4.2056,0.1619
ionosphere,351,33,35.8974,0.48038
letter,1600,32,6.25,0.05339000000000001
lympho,148,18,4.0541,0.71834
mnist,7603,100,9.2069,0.15326
musk,3062,166,3.1679,0.12032000000000001
optdigits,5216,64,2.8758,0.0
pendigits,6870,16,2.2707,0.22901
pima,768,8,34.8958,0.42432
satellite,6435,36,31.6395,0.51061
satimage-2,5803,36,1.2235,0.72105
shuttle,49097,9,7.1511,0.84069
vertebral,240,6,12.5,0.06767
vowels,1456,12,3.4341,0.01193
wbc,378,30,5.5556,0.44173
