Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,1.3165999999999998
cardio,1831,21,9.6122,2.18921
glass,214,9,4.2056,0.05515
ionosphere,351,33,35.8974,0.85343
letter,1600,32,6.25,5.27379
lympho,148,18,4.0541,0.11775
mnist,7603,100,9.2069,96.12399999999998
musk,3062,166,3.1679,20.6981
optdigits,5216,64,2.8758,49.75017999999999
pendigits,6870,16,2.2707,18.31583
pima,768,8,34.8958,0.25752
satellite,6435,36,31.6395,71.40180000000001
satimage-2,5803,36,1.2235,59.11214
shuttle,49097,9,7.1511,270.13613
vertebral,240,6,12.5,0.055220000000000005
vowels,1456,12,3.4341,0.47246
wbc,378,30,5.5556,0.69953
