Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.54364
cardio,1831,21,9.6122,0.37629
glass,214,9,4.2056,0.12261999999999999
ionosphere,351,33,35.8974,0.7977300000000002
letter,1600,32,6.25,0.20583
lympho,148,18,4.0541,0.7516700000000001
mnist,7603,100,9.2069,0.3242900000000001
musk,3062,166,3.1679,0.06219999999999999
optdigits,5216,64,2.8758,0.0014500000000000001
pendigits,6870,16,2.2707,0.1585
pima,768,8,34.8958,0.50775
satellite,6435,36,31.6395,0.49578
satimage-2,5803,36,1.2235,0.43269
shuttle,49097,9,7.1511,0.61539
vertebral,240,6,12.5,0.0329
vowels,1456,12,3.4341,0.4867800000000001
wbc,378,30,5.5556,0.46753999999999996
