Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.32261
cardio,1831,21,9.6122,1.23557
glass,214,9,4.2056,0.06678
ionosphere,351,33,35.8974,0.14849
letter,1600,32,6.25,0.94474
lympho,148,18,4.0541,0.06738000000000001
mnist,7603,100,9.2069,37.916019999999996
musk,3062,166,3.1679,9.034180000000001
optdigits,5216,64,2.8758,22.57511
pendigits,6870,16,2.2707,34.03556999999999
pima,768,8,34.8958,0.4193300000000001
satellite,6435,36,31.6395,28.173250000000003
satimage-2,5803,36,1.2235,24.38969
shuttle,49097,9,7.1511,1589.07847
vertebral,240,6,12.5,0.20303
vowels,1456,12,3.4341,2.50674
wbc,378,30,5.5556,0.32215999999999995
