Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,1.44354
cardio,1831,21,9.6122,8.71687
glass,214,9,4.2056,0.11780000000000002
ionosphere,351,33,35.8974,0.93834
letter,1600,32,6.25,7.66992
lympho,148,18,4.0541,0.39504
mnist,7603,100,9.2069,86.73823
musk,3062,166,3.1679,20.0106
optdigits,5216,64,2.8758,54.080470000000005
pendigits,6870,16,2.2707,85.51464
pima,768,8,34.8958,0.27677999999999997
satellite,6435,36,31.6395,76.42069000000001
satimage-2,5803,36,1.2235,63.223
shuttle,49097,9,7.1511,831.5748300000001
vertebral,240,6,12.5,0.04143
vowels,1456,12,3.4341,1.1999
wbc,378,30,5.5556,0.44225000000000003
