Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.8338699999999999
cardio,1831,21,9.6122,0.79309
glass,214,9,4.2056,0.7798700000000001
ionosphere,351,33,35.8974,0.91044
letter,1600,32,6.25,0.8468899999999999
lympho,148,18,4.0541,0.95856
mnist,7603,100,9.2069,0.77767
musk,3062,166,3.1679,0.64124
optdigits,5216,64,2.8758,0.5183700000000001
pendigits,6870,16,2.2707,0.78634
pima,768,8,34.8958,0.6680200000000001
satellite,6435,36,31.6395,0.68512
satimage-2,5803,36,1.2235,0.98109
shuttle,49097,9,7.1511,0.96431
vertebral,240,6,12.5,0.44419
vowels,1456,12,3.4341,0.9108799999999999
wbc,378,30,5.5556,0.8896000000000001
