Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.8166100000000001
cardio,1831,21,9.6122,0.83647
glass,214,9,4.2056,0.75607
ionosphere,351,33,35.8974,0.9369900000000001
letter,1600,32,6.25,0.8739399999999999
lympho,148,18,4.0541,0.9479000000000001
mnist,7603,100,9.2069,0.8184400000000001
musk,3062,166,3.1679,0.81993
optdigits,5216,64,2.8758,0.50535
pendigits,6870,16,2.2707,0.7927600000000001
pima,768,8,34.8958,0.66552
satellite,6435,36,31.6395,0.6539300000000001
satimage-2,5803,36,1.2235,0.98031
shuttle,49097,9,7.1511,0.96695
vertebral,240,6,12.5,0.44941
vowels,1456,12,3.4341,0.9215099999999999
wbc,378,30,5.5556,0.88774
