Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.23511
cardio,1831,21,9.6122,0.54844
glass,214,9,4.2056,0.049909999999999996
ionosphere,351,33,35.8974,0.08592999999999999
letter,1600,32,6.25,0.5394300000000001
lympho,148,18,4.0541,0.04159999999999999
mnist,7603,100,9.2069,15.92338
musk,3062,166,3.1679,2.6790000000000003
optdigits,5216,64,2.8758,7.81323
pendigits,6870,16,2.2707,15.138760000000001
pima,768,8,34.8958,0.29673999999999995
satellite,6435,36,31.6395,12.47662
satimage-2,5803,36,1.2235,9.791960000000001
shuttle,49097,9,7.1511,746.6135900000002
vertebral,240,6,12.5,0.16636
vowels,1456,12,3.4341,0.87049
wbc,378,30,5.5556,0.25804
