Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.78765
cardio,1831,21,9.6122,0.8618
glass,214,9,4.2056,0.7642800000000001
ionosphere,351,33,35.8974,0.7975199999999999
letter,1600,32,6.25,0.54723
lympho,148,18,4.0541,0.93707
mnist,7603,100,9.2069,0.65655
musk,3062,166,3.1679,0.86054
optdigits,5216,64,2.8758,0.5586800000000001
pendigits,6870,16,2.2707,0.9046800000000002
pima,768,8,34.8958,0.60741
satellite,6435,36,31.6395,0.6835600000000001
satimage-2,5803,36,1.2235,0.9746600000000001
shuttle,49097,9,7.1511,0.9642899999999999
vertebral,240,6,12.5,0.41140999999999994
vowels,1456,12,3.4341,0.7934699999999999
wbc,378,30,5.5556,0.89118
