Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.52236
cardio,1831,21,9.6122,0.39437
glass,214,9,4.2056,0.10594999999999999
ionosphere,351,33,35.8974,0.64493
letter,1600,32,6.25,0.10026000000000002
lympho,148,18,4.0541,0.7516700000000001
mnist,7603,100,9.2069,0.21911999999999998
musk,3062,166,3.1679,0.06015999999999999
optdigits,5216,64,2.8758,0.00597
pendigits,6870,16,2.2707,0.17642000000000002
pima,768,8,34.8958,0.4587800000000001
satellite,6435,36,31.6395,0.5062500000000001
satimage-2,5803,36,1.2235,0.3893
shuttle,49097,9,7.1511,0.5837100000000001
vertebral,240,6,12.5,0.0329
vowels,1456,12,3.4341,0.24747000000000002
wbc,378,30,5.5556,0.47192000000000006
